tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.02,-3.03477850336774,0.2040951643451856,inf
0.02,-3.015928947446201,0.273818655083645,inf
0.02,-2.9970793915246627,0.33002176244630843,inf
0.02,-2.978229835603124,0.37084336693678155,inf
0.02,-2.959380279681585,0.3963216666369033,inf
0.02,-2.9405307237600464,0.40777455229741155,inf
0.02,-2.9216811678385075,0.4072290820412018,inf
0.02,-2.9028316119169686,0.39697981589251197,inf
0.02,-2.88398205599543,0.37929102455612124,inf
0.02,-2.865132500073891,0.3562229508670327,inf
0.02,-2.8462829441523527,0.32955011887232943,inf
0.02,-2.827433388230814,0.3007404625409349,inf
0.02,-2.8085838323092753,0.2709702874354375,inf
0.02,-2.7897342763877364,0.24115736544667066,inf
0.02,-2.7708847204661975,0.21200076426815484,inf
0.02,-2.752035164544659,0.18402072395797725,inf
0.02,-2.73318560862312,0.15759509210461276,inf
0.02,-2.714336052701581,0.13299083950668245,inf
0.02,-2.6954864967800427,0.11039034822413306,inf
0.02,-2.676636940858504,0.08991278257008259,inf
0.02,-2.657787384936965,0.07163113284336163,inf
0.02,-2.6389378290154264,0.05558560458605624,inf
0.02,-2.6200882730938875,0.041794004171768276,inf
0.02,-2.6012387171723486,0.030259699775029198,inf
0.02,-2.58238916125081,0.020977646790124142,inf
0.02,-2.563539605329271,0.013938875331709025,inf
0.02,-2.5446900494077322,0.00913375246648625,inf
0.02,-2.5258404934861938,0.006554256094466136,inf
0.02,-2.506990937564655,0.006195430909301365,inf
0.02,-2.488141381643116,0.008056138145710365,inf
0.02,-2.4692918257215775,0.012139157684153124,inf
0.02,-2.4504422698000385,0.01845065103245501,inf
0.02,-2.4315927138784996,0.026998944130090536,inf
0.02,-2.412743157956961,0.0377925372015503,inf
0.02,-2.3938936020354227,0.05083719247899762,inf
0.02,-2.3750440461138833,0.06613188721609808,inf
0.02,-2.356194490192345,0.08366334727207282,inf
0.02,-2.3373449342708064,0.10339879507025948,inf
0.02,-2.318495378349267,0.1252764566195285,inf
0.02,-2.2996458224277285,0.14919328142382635,inf
0.02,-2.28079626650619,0.17498924978292874,inf
0.02,-2.261946710584651,0.2024275999709112,inf
0.02,-2.243097154663112,0.23117034905376602,inf
0.02,-2.2242475987415737,0.2607486830266858,inf
0.02,-2.205398042820035,0.2905282779696175,inf
0.02,-2.186548486898496,0.31967057031186874,inf
0.02,-2.1676989309769574,0.3470926828913205,inf
0.02,-2.1488493750554185,0.3714314653832102,inf
0.02,-2.1299998191338796,0.39102126642816204,inf
0.02,-2.111150263212341,0.403900812629622,inf
0.02,-2.092300707290802,0.40787161231643293,inf
0.02,-2.0734511513692633,0.4006371751404857,inf
0.02,-2.054601595447725,0.3800555383433596,inf
0.02,-2.035752039526186,0.34453069578476814,inf
0.02,-2.016902483604647,0.29354236038320713,inf
0.02,-1.9980529276831085,0.22825923122679842,inf
0.02,-1.9792033717615696,0.15209837509277163,inf
0.02,-1.9603538158400309,0.07100398084758704,inf
0.02,-1.9415042599184922,-0.006824191120270704,2949.512109355186
0.02,-1.9226547039969535,-0.07194537332362526,908.3941713543073
0.02,-1.9038051480754146,-0.11538712908412337,717.2938218543967
0.02,-1.8849555921538759,-0.13065393347166024,674.0847927089399
0.02,-1.8661060362323372,-0.11537030314782025,717.3461260427815
0.02,-1.8472564803107985,-0.07191695336414183,908.5736420793164
0.02,-1.8284069243892596,-0.006793332379904869,2956.203604392746
0.02,-1.8095573684677209,0.07102634898517973,inf
0.02,-1.7907078125461822,0.15210184159940462,inf
0.02,-1.7718582566246432,0.22823572659879784,inf
0.02,-1.7530087007031048,0.29348718724304684,inf
0.02,-1.7341591447815659,0.34444275648614114,inf
0.02,-1.715309588860027,0.3799369561823216,inf
0.02,-1.6964600329384885,0.4004925753206018,inf
0.02,-1.6776104770169495,0.40770729792955746,inf
0.02,-1.6587609210954106,0.4037239956358598,inf
0.02,-1.6399113651738721,0.39083943655808745,inf
0.02,-1.6210618092523332,0.37125192174998334,inf
0.02,-1.6022122533307943,0.34692221795322953,inf
0.02,-1.5833626974092558,0.3195152793967846,inf
0.02,-1.564513141487717,0.2903934633823482,inf
0.02,-1.5456635855661784,0.2606388241784551,inf
0.02,-1.5268140296446395,0.23108911521175152,inf
0.02,-1.5079644737231006,0.2023778878793714,inf
0.02,-1.4891149178015621,0.17497323346456234,inf
0.02,-1.4702653618800232,0.1492124655390054,inf
0.02,-1.4514158059584843,0.12533172781793311,inf
0.02,-1.4325662500369458,0.10349046795141041,inf
0.02,-1.413716694115407,0.08379120306289754,inf
0.02,-1.394867138193868,0.06629520425223716,inf
0.02,-1.3760175822723295,0.05103476819079833,inf
0.02,-1.3571680263507906,0.03802270167185673,inf
0.02,-1.3383184704292517,0.02725956549590406,inf
0.02,-1.3194689145077132,0.018739133110010624,inf
0.02,-1.3006193585861743,0.012452430253708593,inf
0.02,-1.2817698026646358,0.008390640373591574,inf
0.02,-1.2629202467430969,0.0065470884389833795,inf
0.02,-1.244070690821558,0.0069184524313235215,inf
0.02,-1.2252211349000195,0.009505295438440928,inf
0.02,-1.2063715789784806,0.01431195966015052,inf
0.02,-1.1875220230569417,0.021345814188771208,inf
0.02,-1.1686724671354032,0.030615798555558286,inf
0.02,-1.1498229112138643,0.04213015113451583,inf
0.02,-1.1309733552923253,0.0558931530900354,inf
0.02,-1.1121237993707869,0.07190065248194366,inf
